OTU,alpha
Streptococcus_327,0.00120631592576464
Streptococcus_330,0.00120850047597246
Streptococcus_331,0.00120631592576464
Streptococcus_336,0.014684821811559
Streptococcus_337,0.00241263185152928
Streptococcus_343,0.00241263185152928
Streptococcus_346,0.0122759694149478
Streptococcus_357,0.0182046330118632
Streptococcus_361,0.0246635744115192
Streptococcus_362,0.0430940119810927
Streptococcus_365,0.125714421050223
Streptococcus_369,0.03751724760203
Streptococcus_370,0.0195480640504698
Streptococcus_372,0.0266014668821083
Streptococcus_373,0.160834193948428
Streptococcus_374,0.0518991515706946
Streptococcus_375,0.0383916750508898
Streptococcus_377,0.119355739721715
Streptococcus_378,0.0500795228983271
Streptococcus_379,0.541683315981014
Streptococcus_380,0.0645580504570495
Streptococcus_382,0.023224511041337
Streptococcus_383,0.0489187197111173
Clostridiales_400,0.0158921580504668
Streptococcus_401,0.0185006285606761
Streptococcus_402,0.00979861918924088
Streptococcus_404,0.0134101461980415
Streptococcus_414,0.0207358397951736
Streptococcus_416,0.0589305290263739
Streptococcus_420,0.0147971452769668
Streptococcus_421,0.0721707079982494
Streptococcus_423,0.0334944991019633
Streptococcus_425,0.013403385342337
Streptococcus_427,0.0218808283215782
Streptococcus_428,0.0604769512931379
Streptococcus_429,0.257804626612371
Streptococcus_430,0.0183049252516472
Streptococcus_433,0.0401936248957774
Streptococcus_435,0.00604245854227074
Streptococcus_437,0.0425172567578084
Streptococcus_444,0.0767516408847443
Streptococcus_448,0.0706955766265673
Streptococcus_451,0.0419309562907184
Streptococcus_452,0.104990582710618
Streptococcus_453,0.00853155484782738
Streptococcus_454,0.0158296451376338
Streptococcus_456,0.038248466029461
Streptococcus_457,0.0206932895181074
Streptococcus_460,0.0183209831283394
Streptococcus_462,0.622493810886047
Streptococcus_463,0.0122925187518744
Streptococcus_464,0.0480832584839828
Streptococcus_465,0.106920984986384
Streptococcus_466,0.0363265668255221
Streptococcus_468,0.0135135528872477
Streptococcus_469,0.0206986168775215
Streptococcus_477,0.0195233612096846
Streptococcus_479,0.04405665889519
Streptococcus_483,0.0109550859402398
Streptococcus_484,0.0292888531646694
Streptococcus_486,0.0336564147478363
Streptococcus_487,0.0194739887363747
Streptococcus_492,0.0133839076456792
Streptococcus_498,0.162780292529565
Streptococcus_504,0.0427183052287403
Streptococcus_508,0.0270078670429063
Streptococcus_511,0.0431127179721503
Bacilli_512,0.0548056359033557
Streptococcus_522,0.0012077711217598
Bacilli_526,0.0182454394021799
Streptococcus_532,0.0187298017500581
Streptococcus_534,0.0493538759616362
Streptococcus_538,0.00364985181649073
Streptococcus_544,0.00976048633311487
Streptococcus_545,0.00730910294029435
Firmicutes_547,0.412215965600431
Streptococcus_549,0.0479555749065881
Streptococcus_552,0.0797857087209987
Streptococcus_558,0.0146112730949089
Streptococcus_559,0.054265984546045
Streptococcus_566,0.00483979622379577
Streptococcus_570,0.0160268292427239
Streptococcus_571,0.0175875685771705
Streptococcus_572,0.0226016903396301
Firmicutes_600,0.00731349126605647
Streptococcus_601,0.00983967231156674
Streptococcus_603,0.00607924871151918
Streptococcus_607,0.0311556213130874
Streptococcus_611,0.023259009917058
Streptococcus_616,0.00608950981882017
Streptococcus_617,0.00364189798031131
Streptococcus_619,0.0211232892780773
Streptococcus_620,0.00975598116662459
Streptococcus_621,0.0159196200069781
Streptococcus_622,0.0343806247949824
Streptococcus_630,0.00984973418884098
Streptococcus_635,0.018494845087743
Streptococcus_636,0.0172307276691577
Streptococcus_644,0.0121812208931548
Streptococcus_648,0.0518843846605547
Streptococcus_649,0.0308019755784235
Streptococcus_653,0.0444647374873512
Blautia_655,0.00606871806602408
Blautia_656,0.012232147037201
Streptococcus_669,0.0327250529671005
Streptococcus_670,0.0172501469010182
Blautia_672,0.025138096254201
Streptococcus_675,0.0272535612627411
Streptococcus_676,0.0654936206717534
Streptococcus_679,0.0249878017700656
Staphylococcus_680,0.0147942234951777
Streptococcus_683,0.0367654491771054
Streptococcus_688,0.0200511505962525
Peptostreptococcaceae_696,0.00609729479495945
Peptostreptococcus_704,0.0470498138517191
Peptostreptococcaceae_707,0.0122100834855449
Peptostreptococcus_708,0.0160461089911266
Peptostreptococcaceae_712,0.00851882824170682
Streptococcus_717,0.0134691118685803
Streptococcus_719,0.00977567398248602
Streptococcus_723,0.0665614824331392
Streptococcus_724,0.0170899902809902
Streptococcus_729,0.0336422048978454
Streptococcus_732,0.00487403882627815
Streptococcus_733,0.00485934439352546
Streptococcus_734,0.0110196481651188
Streptococcus_738,0.035821378722836
Streptococcus_740,0.0816069677344983
Streptococcus_741,0.0302087676243966
Streptococcus_744,0.0963951346553511
Streptococcus_746,0.0867805061620129
Streptococcus_748,0.046190107815431
Blautia_754,0.063386887460234
Streptococcus_755,0.0370507422824496
Streptococcus_773,0.0198547891287395
Streptococcus_776,0.0362275341490605
Firmicutes_779,0.0187573932352659
Streptococcus_781,0.0122532672659804
Streptococcus_784,0.00241263185152928
Streptococcus_792,0.00728350050830063
Streptococcus_794,0.00974567224570967
Streptococcus_795,0.00241263185152928
Rothia_805,0.0121551159260763
Rothia_808,0.169914708914866
Rothia_813,0.0109737186191166
Rothia_817,0.0121533063626023
Actinobaculum_830,0.00859219215964556
Actinobaculum_832,0.00857027272480486
Bifidobacteriaceae_839,0.00606798039795853
Actinomyces_851,0.00364694657734588
Bifidobacterium_860,0.0605258206500949
Bifidobacterium_861,0.0048373807803973
Bifidobacterium_865,0.0171541108237352
Bifidobacteriaceae_866,0.0364058226141745
Bifidobacteriaceae_875,0.00485929816686457
Bifidobacterium_876,0.0137860983416377
Bifidobacteriaceae_879,0.0265253838433542
Bifidobacteriaceae_888,0.00121183298400641
Bifidobacteriaceae_889,0.133084771336913
Bifidobacteriaceae_891,0.0121519740480449
Actinomyces_896,0.00849534813420417
Actinomyces_897,0.0353776769826804
Actinomyces_901,0.0467350203392533
Actinomyces_902,0.0348940494769387
Actinomyces_903,0.0158002302164652
Actinomyces_904,0.0123061527585853
Actinomyces_905,0.0546093286912206
Actinomyces_906,0.00855493999975462
Actinomyces_910,0.0109575898509946
Actinomyces_914,0.0265987017370242
Actinomyces_917,0.0134460872257147
Actinomyces_918,0.0024260104812948
Actinomyces_925,0.0170497025378075
Actinomyces_931,0.0399199250352211
Actinomyces_932,0.0236153576785674
Actinomyces_933,0.0174379859949721
Actinomyces_961,0.137452615951535
Actinomyces_962,0.0159372043687649
Actinomyces_972,0.0109823142985619
Actinomyces_974,0.0757182613686176
Actinomyces_979,0.00853306129569636
Actinomyces_981,0.00853204111218175
Actinomyces_985,0.0109685799254882
Actinomyces_992,0.00852055147125449
Actinomyces_995,0.00972316375331215
Actinomyces_996,0.0401812733131519
Actinomyces_998,0.0121332166035438
Actinomyces_1000,0.0234289562155693
Actinomyces_1002,0.0812289198793438
Actinomyces_1004,0.0109507194386412
Actinomyces_1009,0.013599818037956
Actinomyces_1010,0.0196643123725095
Actinomyces_1013,0.293559900944844
Actinomyces_1014,0.0194997261870409
Actinomyces_1025,0.00605743337552037
Actinomyces_odontolyticus_1035,0.0367459932904782
Actinomyces_1048,0.0247432887875715
Nocardia_1059,0.0270043792630919
uncultured_1080,0.00487192333153144
Nocardiaceae_1081,0.00241553873268779
Mycobacterium_1089,0.00120631592576464
Mycobacterium_1090,0.0121064477896134
Mycobacterium_1093,0.00726987889470238
Corynebacterium_1104,0.0212436613667183
Corynebacterium_1107,0.0134508857011982
Corynebacterium_1110,0.00734180469692183
Corynebacterium_1111,0.0171353819630556
Corynebacterium_1125,0.0134397532745823
Corynebacterium_1129,0.00489473686843096
Rothia_1134,0.0134371847565336
Rothia_1135,0.0159143773428072
Rothia_1136,0.0122018361812673
Rothia_1144,0.0122116692796694
Rothia_1150,0.0133945803263895
Rothia_1152,0.0240908374571162
Rothia_1155,0.00847462297239276
Rothia_1158,0.0224555599166201
Rothia_1159,0.0876843674140953
Rothia_1161,0.0448436466652512
Rothia_1162,0.109698562083766
Rothia_1165,0.0224931552791173
Rothia_1167,0.0186805381119121
uncultured_1168,0.0235444684626052
uncultured_1169,0.0121299799717632
Lachnospiraceae_1196,0.0251092517617933
human_oral_bacterium_C73_1197,0.0393823271032136
Granulicatella_1204,0.0255412954294122
Enterococcus_1206,0.0146452437577968
Streptococcus_1211,0.0121389017990066
Gemella_1214,0.0222639821269643
Staphylococcus_1217,0.0226661666016075
Carnobacteriaceae_1220,0.0337704346272554
Mycoplasma_faucium_1223,0.00487392799215297
Mycoplasma_faucium_1226,0.00242410443454829
Mycoplasma_1229,0.039389633502528
Akkermansia_1238,0.00489895845253127
Moraxella_1249,0.00242680964290494
